Month,Year,Total nonfarm,Total private,Average weekly earnings
1,2014,166,183,833.17
2,2014,188,175,835.92
3,2014,225,223,839.73
4,2014,330,313,839.73
5,2014,236,238,841.8
6,2014,286,272,843.87
7,2014,249,243,844.22
8,2014,213,209,846.98
9,2014,250,235,846.98
10,2014,221,218,850.81
11,2014,423,414,853.93
12,2014,329,320,852.2
1,2015,221,214,856.7
2,2015,265,252,858.08
3,2015,84,90,858.02
4,2015,251,241,859.4
5,2015,273,256,861.47
6,2015,228,226,861.12
7,2015,277,245,866.04
8,2015,150,123,869.15
9,2015,149,162,867.33
10,2015,295,304,869.75
11,2015,280,279,871.82
12,2015,262,251,871.82
1,2016,126,110,877.8
2,2016,237,221,875.61
3,2016,225,189,875.82
4,2016,153,158,878.58
5,2016,43,17,880.3
6,2016,297,269,881.33
7,2016,291,249,884.42
8,2016,176,143,882.88
9,2016,249,223,887.86
10,2016,124,132,890.96
11,2016,164,178,888.71
12,2016,157,165,893.37
1,2017,259,252,894.06
2,2017,200,204,896.81
3,2017,73,68,895.57
4,2017,175,174,900.25
5,2017,155,165,901.62
6,2017,239,220,903.34
7,2017,190,188,906.1
8,2017,221,208,907.82
9,2017,14,16,909.29
10,2017,271,277,910.57
11,2017,216,217,915.63
12,2017,160,166,919.43
1,2018,171,186,918.82
2,2018,330,304,922.88
3,2018,182,173,925.98
4,2018,196,184,928.05
5,2018,270,264,931.16
6,2018,262,236,933.23
7,2018,178,173,935.3
8,2018,282,246,939.44
9,2018,108,108,941.85
10,2018,277,285,943.58
11,2018,196,200,943.59
12,2018,222,206,949.79
1,2019,269,258,951.51
2,2019,1,-6,952.54
3,2019,147,132,957.72
4,2019,210,185,956.66
5,2019,85,87,958.73
6,2019,182,180,961.82
7,2019,194,160,962.12
8,2019,207,157,968.7
9,2019,208,195,968.7
10,2019,185,190,971.46
11,2019,261,247,972.06
12,2019,147,142,973.09
1,2020,315,255,975.15
2,2020,289,243,980.74
3,2020,"-1,683","-1,622",980.03
4,2020,"-20,679","-19,731",1028.39
5,2020,"2,833","3,345",1031.98
6,2020,"4,846","4,807",1015.51
7,2020,"1,726","1,523",1016.2
8,2020,"1,583","1,066",1022.61
9,2020,716,932,1026.6
10,2020,680,954,1027.3
11,2020,264,359,1030.43
12,2020,-227,-204,1037.53
1,2021,520,423,1047.55
2,2021,710,693,1039.38
3,2021,704,650,1049.09
4,2021,263,212,1053.98
5,2021,447,381,1059.56
6,2021,557,508,1062.1
7,2021,689,638,1067.32
8,2021,517,497,1067.37
9,2021,424,409,1076.02
10,2021,677,694,1082.63
11,2021,647,627,1086.8
12,2021,510,503,1089.58
1,2022,364,345,1094.4
2,2022,904,897,1097.56
3,2022,414,423,1104.5
4,2022,254,226,1105.12
5,2022,364,343,1109.28
6,2022,370,382,1113.43
7,2022,568,493,1118.62
8,2022,352,306,1118.84
9,2022,350,344,1125.54
10,2022,324,299,1130.04
11,2022,290,228,1131.6
12,2022,260,269,1132.79
1,2023,482,359,1144.22
2,2023,287,226,1143.68
3,2023,146,91,1145.86
4,2023,278,231,1146.99
5,2023,303,254,1153.78
6,2023,240,185,1159.28
7,2023,184,148,1160.71
8,2023,210,150,1166.5
9,2023,246,196,1169.94
10,2023,165,98,1169.63
11,2023,182,152,1177.51
12,2023,333,278,1178.55
